LeftEyeRatio,RightEyeRatio,LeftEyeStatus,RightEyeStatus
2.656239777598694,2.665362439896535,Acik,Acik
2.571982569852028,2.712457150901539,Acik,Acik
2.6886550502772653,2.7848691133610353,Acik,Acik
2.6646307566731906,2.8079740915221274,Acik,Acik
2.685196971611136,2.8742365864793,Acik,Acik
2.662604017544037,2.7917493387284313,Acik,Acik
2.685196971611136,2.7901101675453295,Acik,Acik
2.685196971611136,2.8742365864793,Acik,Acik
2.749400560952159,2.925505064370391,Acik,Acik
2.7762387053644213,2.8742365864793,Acik,Acik
2.7097842333402933,2.8742365864793,Acik,Acik
2.690667337604091,2.8079740915221274,Acik,Acik
2.6872066707859874,2.7848691133610353,Acik,Acik
2.5760141802023866,2.6857272419637774,Acik,Acik
2.5708776253851293,2.6857272419637774,Acik,Acik
2.57390753524675,2.6841761432251223,Acik,Acik
2.57390753524675,2.662089817230525,Acik,Acik
2.6277581847802227,2.722101406188566,Acik,Acik
2.5708776253851293,2.662089817230525,Acik,Acik
2.630993942913797,2.662089817230525,Acik,Acik
2.6277581847802227,2.6841761432251223,Acik,Acik
2.630993942913797,2.722101406188566,Acik,Acik
2.63314731091255,2.744685625044855,Acik,Acik
2.692869545995977,2.80654157339904,Acik,Acik
2.749400560952159,2.9421849981513883,Acik,Acik
2.7531074529699144,2.87277026383316,Acik,Acik
2.7531074529699144,2.8491078832394323,Acik,Acik
2.7531074529699144,2.9226720367361656,Acik,Acik
2.7531074529699144,2.87277026383316,Acik,Acik
2.7531074529699144,2.8714988451987105,Acik,Acik
2.7531074529699144,2.8714988451987105,Acik,Acik
2.713273976232974,2.8784356847037156,Acik,Acik
2.713273976232974,2.8714988451987105,Acik,Acik
2.749400560952159,2.896433296780133,Acik,Acik
2.7553607662100763,2.847825900498582,Acik,Acik
3.3846764221648455,3.4907764697830412,Acik,Acik
4.359903568209691,4.409822195044548,Kapali,Kapali
4.05588327681002,4.078494353659283,Kapali,Kapali
3.4139672543527864,3.59239228530402,Acik,Acik
3.0859018220365697,3.200406111414353,Acik,Acik
2.794832011561818,2.963995998180113,Acik,Acik
2.7553607662100763,2.9194650828644657,Acik,Acik
2.7531074529699144,2.7848691133610353,Acik,Acik
2.6668487512813317,2.8562080494746547,Acik,Acik
2.6894060467543324,2.7848691133610353,Acik,Acik
2.63314731091255,2.7848691133610353,Acik,Acik
2.6978418255086636,2.850586377682531,Acik,Acik
2.731035991854587,2.8419322818227357,Acik,Acik
2.7054941509169548,2.85676584814211,Acik,Acik
2.812587934194052,2.947171367753264,Acik,Acik
2.809404192198832,2.9249991910954685,Acik,Acik
2.766675691515446,2.9009066122466134,Acik,Acik
2.764136291538868,2.9264921724897137,Acik,Acik
2.7382024777194185,2.902411986729407,Acik,Acik
